,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta1,params_beta2,params_bidirectional,params_dropout,params_embed_dim,params_hidden_size,params_lr,params_momentum,params_num_layers,params_optimizer,params_weight_decay,state
74,74,0.0028406572067874868,2026-04-12 19:28:53.439663,2026-04-12 19:28:58.261571,0 days 00:00:04.821908,,0.7176245713324964,0.9569253355113082,True,0.3893124749841939,128,64,0.003307651109365223,,1,Adam,1.4215862732534183e-05,COMPLETE
75,75,0.006628693270520752,2026-04-12 19:28:58.273983,2026-04-12 19:29:00.717220,0 days 00:00:02.443237,,0.7697198941008115,0.9395655259994904,True,0.36426745391027,128,64,0.0003936415169920191,,1,Adam,1.6857979037410212e-05,PRUNED
76,76,0.3440751600417362,2026-04-12 19:29:00.726404,2026-04-12 19:29:04.993161,0 days 00:00:04.266757,,,,True,0.26244191301368736,32,64,0.0016921089935513739,0.058591498558261124,3,SGD,2.6671845528214578e-05,PRUNED
77,77,0.003113989929956307,2026-04-12 19:29:05.002397,2026-04-12 19:29:11.935607,0 days 00:00:06.933210,,0.7312009561492698,0.9790930193946755,True,0.3505422045739279,128,128,0.00876780824147259,,1,Adam,1.0109901368144528e-05,PRUNED
78,78,0.013464948226946886,2026-04-12 19:29:11.947778,2026-04-12 19:29:14.319362,0 days 00:00:02.371584,,0.8250654049610617,0.9856593169517881,True,0.3800067481414246,128,64,0.004018902792997813,,1,Adam,1.445432378683152e-05,PRUNED
79,79,0.01486584750466808,2026-04-12 19:29:14.328393,2026-04-12 19:29:17.593054,0 days 00:00:03.264661,,0.7528697403386406,0.9743496605048044,True,0.3903002546702164,128,64,0.0021185458918598988,,2,Adam,4.673082602168531e-05,PRUNED
80,80,0.02581141090797628,2026-04-12 19:29:17.602167,2026-04-12 19:29:19.732819,0 days 00:00:02.130652,0.8682052791568973,,,True,0.336894823383392,64,16,0.0010266814252132771,,1,RMSprop,8.258023062998515e-05,PRUNED
81,81,0.011652017712213431,2026-04-12 19:29:19.744266,2026-04-12 19:29:22.123610,0 days 00:00:02.379344,,0.7002086125121476,0.9660244502438392,True,0.3989714305629088,128,64,0.002628983933728389,,1,Adam,2.0568594557614232e-05,PRUNED
82,82,0.005293789443709727,2026-04-12 19:29:22.135568,2026-04-12 19:29:25.009470,0 days 00:00:02.873902,,0.7122652606758344,0.9814562015597182,True,0.3577026134212408,128,64,0.0015229787981761815,,1,Adam,3.5209692932064864e-05,PRUNED
83,83,0.004199681832502555,2026-04-12 19:29:25.019213,2026-04-12 19:29:27.911244,0 days 00:00:02.892031,,0.7297596495645823,0.9874498178719272,True,0.3696669026114212,128,64,0.005915657031410115,,1,Adam,1.2461239847509548e-05,PRUNED
84,84,0.0017234454608810058,2026-04-12 19:29:27.921957,2026-04-12 19:29:33.404319,0 days 00:00:05.482362,,0.7439098486424137,0.9758036032037903,True,0.3908141658286489,128,64,0.003150772710719447,,1,Adam,2.2736000438769142e-05,COMPLETE
85,85,0.002751890310771455,2026-04-12 19:29:33.415075,2026-04-12 19:29:37.045381,0 days 00:00:03.630306,,0.8913686659243362,0.9755630568067931,True,0.388371278687788,128,64,0.003250557298545095,,1,Adam,3.0388396276514547e-05,PRUNED
86,86,0.0030869201215348876,2026-04-12 19:29:37.069039,2026-04-12 19:29:40.166678,0 days 00:00:03.097639,,0.7767979935374386,0.9721524497713414,False,0.3774275447918698,128,64,0.005044509331156439,,1,Adam,2.3308251452658464e-05,PRUNED
87,87,0.013099611042420361,2026-04-12 19:29:40.175928,2026-04-12 19:29:42.501112,0 days 00:00:02.325184,,0.7468577902143296,0.9587972590159308,True,0.34840368670749894,128,64,0.0006564357644644099,,1,Adam,1.6837188751424435e-05,PRUNED
88,88,0.12099324165588352,2026-04-12 19:29:42.510636,2026-04-12 19:29:44.826070,0 days 00:00:02.315434,,,,True,0.36146894115090683,128,64,0.004506811686455844,0.6611044943695455,1,SGD,1.923397333089509e-05,PRUNED
89,89,0.008779089063684794,2026-04-12 19:29:44.836311,2026-04-12 19:29:47.836971,0 days 00:00:03.000660,,0.7405820054095077,0.9937930504506852,True,0.10494260074470846,32,32,0.0008519572961544063,,3,Adam,2.4331053934185885e-05,PRUNED
90,90,0.004734460054600173,2026-04-12 19:29:47.846626,2026-04-12 19:29:50.136525,0 days 00:00:02.289899,0.8235126195095872,,,True,0.18801233993477937,128,64,0.0018820137659062294,,1,RMSprop,1.5390353883372377e-05,PRUNED
91,91,0.004626391223534663,2026-04-12 19:29:50.148041,2026-04-12 19:29:52.485174,0 days 00:00:02.337133,,0.7204943131206863,0.9780324580739949,True,0.38875025340573316,128,64,0.0024534678195196396,,1,Adam,2.2440445579614128e-05,PRUNED
92,92,0.0027168279689915365,2026-04-12 19:29:52.494097,2026-04-12 19:29:57.106502,0 days 00:00:04.612405,,0.7108972115162153,0.983167240675498,True,0.37750471946203723,128,64,0.0014258833124746499,,1,Adam,2.7326969793013112e-05,COMPLETE
93,93,0.0029484614180639176,2026-04-12 19:29:57.117764,2026-04-12 19:30:00.580330,0 days 00:00:03.462566,,0.731448789696055,0.9628187471938777,True,0.3929662899358068,128,64,0.0029674129532162178,,1,Adam,2.066905106275256e-05,PRUNED
94,94,0.0016013428233867914,2026-04-12 19:30:00.589717,2026-04-12 19:30:05.108621,0 days 00:00:04.518904,,0.8004480716902027,0.9689301323912523,True,0.3989330885047557,128,64,0.002121438485384509,,1,Adam,1.8791671594601936e-05,COMPLETE
95,95,0.0034644857808931993,2026-04-12 19:30:05.118937,2026-04-12 19:30:08.651430,0 days 00:00:03.532493,,0.8001050036807005,0.9690461009205068,True,0.3643553421632343,128,64,0.0012322347691736111,,1,Adam,1.118659120124725e-05,PRUNED
96,96,0.005440788564819567,2026-04-12 19:30:08.660556,2026-04-12 19:30:13.284360,0 days 00:00:04.623804,,0.8320292373998179,0.9731497404759989,True,0.3244941837003425,128,128,0.0038272112668876947,,1,Adam,1.754325129927648e-05,PRUNED
97,97,0.011017294136427675,2026-04-12 19:30:13.296354,2026-04-12 19:30:15.638948,0 days 00:00:02.342594,,0.8065966448061295,0.9670787556660513,True,0.35276283766715005,128,64,0.00047180945442533645,,1,Adam,0.0001348040869742687,PRUNED
98,98,0.0047007371709685015,2026-04-12 19:30:15.648314,2026-04-12 19:30:18.985328,0 days 00:00:03.337014,,0.7842211903156525,0.9831940155594104,True,0.15934732363507328,128,64,0.0019728554716053693,,2,Adam,1.3422374327076871e-05,PRUNED
99,99,0.013239936781513273,2026-04-12 19:30:18.994164,2026-04-12 19:30:21.485914,0 days 00:00:02.491750,0.8645095870866542,,,False,0.3998148302019052,64,64,0.007688507021608636,,1,RMSprop,1.576267776188338e-05,PRUNED
